Threshold,Sensitivity,Specificity,AUC
92,0.8121796804341272,0.4778779618368631,0.7574887287402127
90,0.7560378018900945,0.6475654772367727,0.7762491745610307
88,0.7036559139784946,0.750185102917222,0.800933221236599
