Subject,Hand,MAE,ARMS,R2,mu,LOA_low,LOA_high
1,L,5.989111682450173,7.364532640516168,0.2696775833604411,-1.324249300992245,-15.523459094764348,12.87496049277986
1,R,7.535993571373862,9.111414087881329,-0.11788162486525589,1.735839926122309,-15.795450872335838,19.267130724580458
2,L,5.439198252524739,6.480889515893056,0.2804363360501375,-4.346901419083677,-13.768443637206907,5.074640799039553
2,R,6.934741721164034,7.960228532034974,-0.08474258807196233,-6.357673829820973,-15.746303330297005,3.030955670655059
3,L,6.802040777145606,7.984950473344655,0.07291627866854433,4.569301725592631,-8.265468476712295,17.404071927897554
3,R,5.305968201622743,6.3544310455910145,0.37418121428005535,1.8887017570904698,-10.003120683953846,13.780524198134785
4,L,4.23582525724134,5.429525282120032,-0.06174910480170448,1.5267592041598113,-8.685715633463992,11.739234041783615
4,R,5.646815507486254,6.790155378198272,0.024700247958655996,1.4000152228190106,-11.622730909312466,14.422761354950488
5,L,5.466177649254955,7.045372969335909,0.32317120736096216,1.0799037467862689,-12.5658476921059,14.725655185678436
5,R,6.101756064877362,8.355516705719129,0.33497204950730997,-0.6697447390806862,-16.99386233096611,15.654372852804736
6,L,6.232478682914996,7.3550746079409715,0.29790533010228504,3.5579039850837377,-9.059144707719138,16.174952677886612
6,R,5.388877031174864,6.37473107097174,0.5532518473412211,0.505487243001872,-11.94964252604504,12.960617012048782
