R,G,B
177.2799184992284,0.0,1.4838927469135803
175.84579861111112,0.0,1.4595486111111111
174.81256172839505,0.0,1.4152223186728394
173.68699315200618,0.0,1.4146469907407409
171.59343894675925,0.0,1.3408357445987655
170.0175067515432,0.0,1.282412712191358
169.61315441743827,0.0,1.2482667824074074
168.96326630015432,0.0,1.2202059220679011
166.27559944058643,0.0,1.0705960648148147
163.32255111882716,0.0,1.032636477623457
160.96548755787038,0.0,1.0129832175925926
159.89797116126545,0.0,0.9760325038580246
159.48362654320988,0.0,0.9580758101851852
158.11468219521606,0.0,0.9385971257716049
157.8281785300926,0.0,0.8906775655864198
157.74293161651235,0.0,0.8823808834876543
157.85752411265432,0.0,0.8718127893518518
158.27738570601852,0.0,0.9628192515432099
159.8150853587963,0.0,1.0055198688271605
161.4437287808642,0.0,1.0837519290123456
160.60782744984567,0.0,1.0211882716049383
159.92382764274691,0.0,0.9276441936728395
163.48034577546295,0.0,1.0295770640432098
171.215496720679,0.0,1.3218619791666666
175.09116222993828,0.0,1.4827633101851851
174.2096161265432,0.0,1.4261969521604938
175.8494777199074,0.0,1.5326403356481482
179.8719743441358,0.0,1.5300144675925926
181.32991319444446,0.0,1.4717737268518518
181.93858940972223,0.0,1.4959543788580247
185.15013020833334,0.0,1.5880584490740741
190.03227478780863,0.0,1.6820355902777777
192.61023582175926,0.0,1.7852454668209876
191.73693238811728,0.0,1.7467177854938272
190.53598476080248,0.0,1.572647087191358
189.82193431712963,0.0,1.541459297839506
188.95567756558643,0.0,1.4459514853395061
188.17365162037038,0.0,1.542466724537037
187.8527411265432,0.0,1.5782957175925927
186.50752266589507,0.0,1.5658926504629629
185.75091820987655,0.0,1.5488059413580246
185.11802613811727,0.0,1.522948013117284
184.17290364583334,0.0,1.4940702160493826
183.8413638117284,0.0,1.4486033950617283
183.53622058256173,0.0,1.4481486304012345
182.2388956404321,0.0,1.3979229359567902
181.21759307484567,0.0,1.3390600887345678
180.38796633873457,0.0,1.304647472993827
179.7385262345679,0.0,1.263996913580247
178.80182677469136,0.0,1.2845679012345679
178.0406539351852,0.0,1.3206780478395062
177.40048466435186,0.0,1.3088261959876544
176.74373456790124,0.0,1.2981119791666667
176.00160059799381,0.0,1.3432016782407408
175.38850549768517,0.0,1.3010069444444445
173.74959780092593,0.0,1.297664448302469
171.68383150077162,0.0,1.2764347029320988
169.95818769290125,0.0,1.2432103587962964
168.60601948302468,0.0,1.2394994212962962
167.6917327353395,0.0,1.3200583526234568
166.37048900462963,0.0,1.2923027584876543
165.65014756944444,0.0,1.3273017939814815
165.38549816743827,0.0,1.3493436535493828
165.30625626929012,0.0,1.341833526234568
165.17473186728395,0.0,1.3178120177469135
165.15244405864198,0.0,1.3275337577160493
165.17868489583333,0.0,1.3222019675925927
165.3243354552469,0.0,1.3330787037037037
165.34207561728394,0.0,1.3174464699074073
165.25591386959877,0.0,1.291878375771605
165.14640817901235,0.0,1.2873726851851852
165.074481095679,0.0,1.266463638117284
164.97882571373458,0.0,1.2569695216049384
164.7923654513889,0.0,1.2394550540123457
164.50546296296295,0.0,1.1840562307098765
163.91272472993828,0.0,1.0890094521604938
163.35357301311728,0.0,1.0871976273148147
163.15743827160495,0.0,1.0999295910493827
163.1315340470679,0.0,1.0978650655864197
163.1132243441358,0.0,1.098956886574074
163.1612176890432,0.0,1.0937205825617284
163.20366994598766,0.0,1.1068272569444444
163.34069010416667,0.0,1.1187977430555556
163.41676890432097,0.0,1.1222935956790123
163.66352864583334,0.0,1.128223861882716
163.71633632330247,0.0,1.1376914544753087
163.77820071373458,0.0,1.1442828896604937
163.84683449074075,0.0,1.161454475308642
163.81739776234568,0.0,1.1332286844135802
163.84769965277778,0.0,1.1361231674382717
163.8635908564815,0.0,1.129375964506173
163.8663310185185,0.0,1.1257807677469136
163.84815441743828,0.0,1.1345471643518519
163.90715615354938,0.0,1.1339067322530865
163.90381992669754,0.0,1.1316391782407407
163.8769463734568,0.0,1.1088276427469135
163.6751808449074,0.0,1.0941121720679012
163.5757354359568,0.0,1.0908670910493827
163.61452739197532,0.0,1.104168113425926
163.6325183256173,0.0,1.1102425733024692
163.6506925154321,0.0,1.121121238425926
163.69185908564816,0.0,1.134855324074074
163.74946228780865,0.0,1.135943287037037
163.78134355709878,0.0,1.1306221064814814
163.78705777391974,0.0,1.1283453896604938
163.83093171296295,0.0,1.1254861111111112
163.8305859375,0.0,1.1182908950617283
163.86454427083333,0.0,1.1195934606481481
163.8535648148148,0.0,1.1208019868827162
163.94019434799384,0.0,1.1313126929012345
164.0045601851852,0.0,1.1477715084876543
164.02161168981482,0.0,1.1408106674382716
164.14715856481482,0.0,1.126598186728395
164.14567997685185,0.0,1.1284355709876543
164.11860339506174,0.0,1.1230488040123456
164.0067009066358,0.0,1.1121349344135802
163.66750964506173,0.0,1.093543113425926
163.59520929783952,0.0,1.112674575617284
163.60404224537038,0.0,1.1112138310185184
163.61749035493827,0.0,1.1122178819444444
163.681015625,0.0,1.1153221450617283
163.69635513117285,0.0,1.1168711419753086
163.69744936342593,0.0,1.1150371334876543
163.70008246527777,0.0,1.120353973765432
163.7340306712963,0.0,1.1203443287037036
163.7595630787037,0.0,1.1291295331790123
163.76066888503087,0.0,1.1287996720679012
163.79317370756172,0.0,1.137371238425926
163.81947386188273,0.0,1.1344700038580247
163.91366560570987,0.0,1.1485609567901234
163.96395495756173,0.0,1.15121768904321
164.18627314814816,0.0,1.1566309799382717
164.18126591435185,0.0,1.1309693287037037
164.23620949074075,0.0,1.1272743055555556
164.20441695601852,0.0,1.1151557677469135
164.1313522376543,0.0,1.1028486689814814
163.50765480324074,0.0,1.0595539158950618
163.29099199459876,0.0,1.0808940972222223
163.28633294753087,0.0,1.089080825617284
163.26697193287038,0.0,1.0931645447530864
163.2713498263889,0.0,1.0975192901234567
163.29482301311728,0.0,1.111986400462963
